categoria,termo,codigo,nome,ch_teorica,ch_pratica,ch_extensao
INTERDISCIPLINAR,6,8650,GESTÃO DA INOVAÇÃO,36,0,
INTERDISCIPLINAR,6,5886,GESTÃO DE PROJETOS,20,16,
ELETIVA,6,4165,IMAGENS BIOMÉDICAS,36,36,
ELETIVA,6,5864,IMUNOLOGIA APLICADA,72,0,
ELETIVA,6,5855,IMUNOLOGIA GERAL,72,0,
ELETIVA,6,4401,INFERÊNCIA E ANÁLISE DE REGRESSÃO,56,16,
ELETIVA,6,8273,INSTRUMENTOS BIOMÉDICOS,48,24,20
ELETIVA,6,8217,INSTRUMENTOS ELETROMÉDICOS,56,16,12
ELETIVA,6,5781,INTERAÇÃO HUMANO-COMPUTADOR,54,18,
ELETIVA,6,9880,INTERAÇÃO HUMANO-COMPUTADOR E EXPERIÊNCIA DO USUÁRIO (UX),54,18,16
INTERDISCIPLINAR,6,9881,INTERNET DAS COISAS,36,36,36
ELETIVA,6,9509,INTRODUÇÃO À ANALISE DE FALHAS EM METAIS,72,0,12
ELETIVA,6,6049,INTRODUÇÃO À ANÁLISE FUNCIONAL,72,0,
INTERDISCIPLINAR,6,5390,INTRODUÇÃO À BIOLOGIA DE SISTEMAS,72,0,12
ELETIVA,6,9793,INTRODUÇÃO À ECONOMIA,36,0,
ELETIVA,6,5453,INTRODUÇÃO À ELETROTÉCNICA,36,0,4
ELETIVA,6,6085,INTRODUÇÃO À GEOMETRIA DIFERENCIAL,72,0,8
ELETIVA,6,7583,INTRODUÇÃO À ÓTICA BIOMÉDICA,72,0,
ELETIVA,6,4412,INTRODUÇÃO À PESQUISA OPERACIONAL,64,8,
ELETIVA,6,8529,INTRODUÇÃO À TEORIA DOS SISTEMAS DINÂMICOS,72,0,
OPTATIVA,6,7977,INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS DIGITAIS,40,0,
ELETIVA,6,3489,INTRODUÇÃO ÀS REDES NEURAIS ARTIFICIAIS,36,36,
OPTATIVA,6,6899,"JOGOS, GAMES E GAMIFICAÇÃO",40,0,
ELETIVA,6,8668,LABORATÓRIO AVANÇADO DE MÉTODOS AGÉIS E SOFTWARE LIVRE,36,36,
ELETIVA,6,5850,LABORATÓRIO DE BIOQUÍMICA ANALÍTICA,0,36,
ELETIVA,6,9806,LABORATÓRIO DE CONTROLE APLICADO,8,28,
ELETIVA,6,5930,LABORATÓRIO DE ELETRÔNICA DIGITAL,0,36,
INTERDISCIPLINAR,6,5852,LABORATÓRIO DE ENGENHARIA BIOQUÍMICA,0,36,
ELETIVA,6,6055,LABORATÓRIO DE ESTATÍSTICA APLICADA,36,36,
ELETIVA,6,5412,LABORATÓRIO DE METODOLOGIAS ÁGEIS,58,14,
ELETIVA,6,6098,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMPILADORES,14,58,
ELETIVA,6,8271,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: COMUNICAÇÃO DIGITAL,36,36,
ELETIVA,6,6095,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: ENGENHARIA DE SISTEMAS,8,28,
ELETIVA,6,6109,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: REDES DE COMPUTADORES,8,28,
ELETIVA,6,6102,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: SISTEMAS OPERACIONAIS,14,58,
ELETIVA,6,5937,LABORATÓRIO DE USABILIDADE NA WEB,24,48,
OPTATIVA,6,5470,LIBRAS - EAD,60,0,
ELETIVA,6,4775,MACROECONOMIA,36,0,
ELETIVA,6,9016,MANUFATURA ADITIVA,72,0,
ELETIVA,6,7580,MATERIAIS AEROESPACIAIS,72,0,
ELETIVA,6,5393,MATERIAIS COMPÓSITOS,64,8,4
ELETIVA,6,6927,MATERIAIS DE CONSTRUÇÃO CIVIL,72,0,
ELETIVA,6,5784,MATÉRIAS-PRIMAS CERÂMICAS,56,16,6
ELETIVA,6,5889,MECÂNICA DA FRATURA,72,0,
ELETIVA,6,4164,METAHEURÍSTICAS,58,14,
ELETIVA,6,8649,METALURGIA DE LIGAS AERONÁUTICAS,52,20,12
ELETIVA,6,5888,METALURGIA DO PÓ,28,8,
ELETIVA,6,5878,METALURGIA EXTRATIVA,36,0,2
ELETIVA,6,6671,METALURGIA FÍSICA,72,0,6
ELETIVA,6,6928,METALURGIA MECÂNICA,72,0,6
ELETIVA,6,5922,MÉTODOS AVANÇADOS EM PROCESSAMENTO DE IMAGENS BIOMÉDICAS,36,36,
ELETIVA,6,8043,MÉTODOS ESTATÍSTICOS MULTIVARIADOS,36,36,
